class	method	definedin
kernel.Actor	__dummy	-
kernel.Actor	getClassInfo	-
kernel.Actor	isTonyuObject	-
kernel.Actor	fiber$main	kernel.Actor
kernel.Actor	main	kernel.Actor
kernel.Actor	_animation	kernel.AnimMod
kernel.Actor	fiber$_animation	kernel.AnimMod
kernel.Actor	fiber$initAnimMod	kernel.AnimMod
kernel.Actor	initAnimMod	kernel.AnimMod
kernel.Actor	setAnimFps	kernel.AnimMod
kernel.Actor	startAnim	kernel.AnimMod
kernel.Actor	stopAnim	kernel.AnimMod
kernel.Actor	__getter__defaultLayer	kernel.BaseActor
kernel.Actor	extend	kernel.BaseActor
kernel.Actor	loadPage	kernel.BaseActor
kernel.Actor	print	kernel.BaseActor
kernel.Actor	alert	kernel.DialogMod
kernel.Actor	confirm	kernel.DialogMod
kernel.Actor	fiber$alert	kernel.DialogMod
kernel.Actor	fiber$confirm	kernel.DialogMod
kernel.Actor	fiber$prompt	kernel.DialogMod
kernel.Actor	fiber$promptNumber	kernel.DialogMod
kernel.Actor	fiber$waitInput	kernel.DialogMod
kernel.Actor	prompt	kernel.DialogMod
kernel.Actor	promptNumber	kernel.DialogMod
kernel.Actor	waitInput	kernel.DialogMod
kernel.Actor	callEventHandler	kernel.EventHandlerCaller
kernel.Actor	fiber$callEventHandler	kernel.EventHandlerCaller
kernel.Actor	fiber$runAsync	kernel.EventMod
kernel.Actor	fiber$runPromise	kernel.EventMod
kernel.Actor	fiber$waitEvent	kernel.EventMod
kernel.Actor	fiber$waitFor	kernel.EventMod
kernel.Actor	fireEvent	kernel.EventMod
kernel.Actor	getEventHandler	kernel.EventMod
kernel.Actor	getOrRegisterEventHandler	kernel.EventMod
kernel.Actor	initEventMod	kernel.EventMod
kernel.Actor	on	kernel.EventMod
kernel.Actor	parseArgs	kernel.EventMod
kernel.Actor	registerEventHandler	kernel.EventMod
kernel.Actor	releaseEventMod	kernel.EventMod
kernel.Actor	runAsync	kernel.EventMod
kernel.Actor	runPromise	kernel.EventMod
kernel.Actor	sendEvent	kernel.EventMod
kernel.Actor	waitEvent	kernel.EventMod
kernel.Actor	waitFor	kernel.EventMod
kernel.Actor	fiber$file	kernel.FileMod
kernel.Actor	file	kernel.FileMod
kernel.Actor	fiber$waitInputDevice	kernel.InputMod
kernel.Actor	findTouch	kernel.InputMod
kernel.Actor	getkey	kernel.InputMod
kernel.Actor	waitInputDevice	kernel.InputMod
kernel.Actor	__getter__lifeKeeper	kernel.LifeCycleMod
kernel.Actor	__setter__lifeKeeper	kernel.LifeCycleMod
kernel.Actor	__setter__useObjectPool	kernel.LifeCycleMod
kernel.Actor	addToLayer	kernel.LifeCycleMod
kernel.Actor	appear	kernel.LifeCycleMod
kernel.Actor	changeLayer	kernel.LifeCycleMod
kernel.Actor	die	kernel.LifeCycleMod
kernel.Actor	fiber$addToLayer	kernel.LifeCycleMod
kernel.Actor	fiber$appear	kernel.LifeCycleMod
kernel.Actor	fiber$changeLayer	kernel.LifeCycleMod
kernel.Actor	fiber$onAppear	kernel.LifeCycleMod
kernel.Actor	hide	kernel.LifeCycleMod
kernel.Actor	isDead	kernel.LifeCycleMod
kernel.Actor	onAppear	kernel.LifeCycleMod
kernel.Actor	show	kernel.LifeCycleMod
kernel.Actor	abs	kernel.MathMod
kernel.Actor	amod	kernel.MathMod
kernel.Actor	angleDiff	kernel.MathMod
kernel.Actor	atan2	kernel.MathMod
kernel.Actor	atanxy	kernel.MathMod
